country_code,gdp_per_capita_ppp,population,urban_population_pct,internet_users_pct,mobile_subscriptions,logistics_performance,gini_index,consumption_per_capita,data_collection_date,is_api_data
ABW,43383.95298479598,224175914.23489228,86.36860616402126,95.15568580118024,183.7935604380086,2.388875243669784,48.57382464107506,29740.70285003237,2025-08-25 16:36:28.999583,False
AFG,1568.3106072065948,727851861.5200824,16.600420974196883,25.359772178730402,182.7357468850602,3.3714365589724844,31.875845713419693,1486.6575739644888,2025-08-25 16:36:28.999797,False
AGO,3539.215897347759,734858119.9444356,33.189499955889595,30.454469444769153,83.47507634346836,1.7526808009377208,61.63757263962938,5496.985645463958,2025-08-25 16:36:28.999892,False
ALB,19065.226932318314,549667833.39339,65.65599994662203,62.66603576326237,145.34648171226377,3.1191527840882247,38.944671931773755,4278.522925789498,2025-08-25 16:36:29.000082,False
AND,67975.24427779492,1039550462.0393658,94.24147425630369,80.6156242820971,197.0093286382569,2.395854166624448,63.56368563045708,46536.363654455985,2025-08-25 16:36:29.000254,False
ARE,26957.396923696466,1169687368.3390317,87.14102607098356,84.01246023309287,86.24928285996238,4.333407939168339,41.592545429236644,44922.17671387698,2025-08-25 16:36:29.000323,False
ARG,15353.581193918393,224175914.23489228,72.91604862962976,77.91836858112148,183.7935604380086,2.388875243669784,48.57382464107506,10737.74594139196,2025-08-25 16:36:29.000505,False
ARM,18591.570749968116,656135408.1061455,50.84279702108309,62.397408316070674,154.0239225857262,2.367155774162138,53.493557341573116,9138.346530708688,2025-08-25 16:36:29.000656,False
ASM,41069.112344442554,803197956.988181,75.7467117191961,87.10026725611216,138.89550106320053,4.18603270809154,49.05016405296269,30935.107940120186,2025-08-25 16:36:29.000720,False
ATG,44808.37158400964,561106473.2796466,86.02525772287152,84.38406640840319,99.87431830593303,3.5532227189475645,36.981893897307316,52959.67307200565,2025-08-25 16:36:29.000850,False
AUS,33220.8023359673,1338431182.1722357,84.57914105843165,97.09506333380499,102.33582362409165,1.9452713269975905,29.73495415957087,31053.049721747506,2025-08-25 16:36:29.000970,False
AUT,26703.203890850742,382168827.7781379,92.81001108764956,98.43330975834421,86.99296638333242,3.596422242832205,59.65717276785344,40319.20034932579,2025-08-25 16:36:29.001035,False
AZE,18591.570749968116,656135408.1061455,50.84279702108309,62.397408316070674,154.0239225857262,2.367155774162138,53.493557341573116,9138.346530708688,2025-08-25 16:36:29.001089,False
BDI,1757.4121513998082,549667833.39339,30.655999946622035,17.66603576326237,145.34648171226377,3.1191527840882247,38.944671931773755,280.3098478065042,2025-08-25 16:36:29.001143,False
BEL,67975.24427779492,1039550462.0393658,94.24147425630369,80.6156242820971,197.0093286382569,2.395854166624448,63.56368563045708,46536.363654455985,2025-08-25 16:36:29.001194,False
BEN,4184.2653739244115,1378650506.6698983,67.4990094500241,50.04636104576778,164.3672822965895,3.6652534041895026,39.85110040606386,2038.3244920344512,2025-08-25 16:36:29.001247,False
BFA,784.7614983010583,1122073353.256068,36.387078835148,33.33921311870026,156.92862367027138,1.9201104404466394,35.70047528389805,523.0682376479491,2025-08-25 16:36:29.001300,False
BGD,11602.607053363932,841852220.3127726,69.56554588390793,61.02230554944316,189.93031408263906,2.7819714936229722,35.81203980271376,5708.644059831019,2025-08-25 16:36:29.001353,False
BGR,25742.137259094674,414974825.9415728,74.51139826695639,85.16148631168055,186.7594525659168,3.603449414412234,41.749771215534125,49866.66147780952,2025-08-25 16:36:29.001402,False
BHR,44808.37158400964,561106473.2796466,86.02525772287152,84.38406640840319,99.87431830593303,3.5532227189475645,36.981893897307316,52959.67307200565,2025-08-25 16:36:29.001451,False
BHS,55061.39038090908,1446496715.6103134,71.59733233226714,87.28793559927723,195.203722667122,1.8612987693954222,51.17958865072636,44585.12402250954,2025-08-25 16:36:29.001510,False
BIH,25190.097711117967,1039550462.0393658,83.93806395882515,51.134044730178886,197.0093286382569,2.395854166624448,63.56368563045708,17301.567405189693,2025-08-25 16:36:29.001599,False
BLR,18591.570749968116,656135408.1061455,50.84279702108309,62.397408316070674,154.0239225857262,2.367155774162138,53.493557341573116,9138.346530708688,2025-08-25 16:36:29.001652,False
BLZ,15196.119183098295,519861941.98310435,55.06820113793903,72.83190672509976,96.58820765655186,2.352288890529803,58.91451836385968,13567.469755182232,2025-08-25 16:36:29.001702,False
BMU,48309.59463082403,813072407.5863326,87.21387244294343,86.57557747791762,115.85435063513133,3.267147264765687,51.146486917519304,17296.563851251332,2025-08-25 16:36:29.001752,False
BOL,7465.707341983469,1446496715.6103134,27.875198198080863,39.178777892834844,195.203722667122,1.8612987693954222,51.17958865072636,6458.159029116565,2025-08-25 16:36:29.001806,False
BRA,12805.383822633705,1378650506.6698983,83.05478512779652,71.03245273203744,164.3672822965895,3.6652534041895026,39.85110040606386,6385.340049268334,2025-08-25 16:36:29.001858,False
BRB,27653.421553069984,534231356.6518076,92.74352000356899,87.69735102291463,89.11504253838152,1.8108540878432013,41.25503254990305,13278.517770293749,2025-08-25 16:36:29.001908,False
BRN,74222.64937081934,517895377.70276886,87.1264512107877,93.55798721129051,97.50627355996004,4.309430308819503,43.94470565305261,29744.760155486118,2025-08-25 16:36:29.001957,False
BTN,6238.108114695278,813072407.5863326,55.98497039729816,37.30415125767796,115.85435063513133,3.267147264765687,51.146486917519304,1815.9671838910313,2025-08-25 16:36:29.002008,False
BWA,15353.581193918393,224175914.23489228,72.91604862962976,77.91836858112148,183.7935604380086,2.388875243669784,48.57382464107506,10737.74594139196,2025-08-25 16:36:29.002058,False
CAF,1060.5154499740668,396817412.18208164,49.20764034845088,39.75280783215995,199.24881529007666,3.2144266139128095,48.984279967419916,461.5013966056344,2025-08-25 16:36:29.002109,False
CAN,30495.831562087464,454969301.757639,89.57649522594978,89.58323761087728,66.90358796732379,1.8073417156250657,59.59482306916228,50000.88887888938,2025-08-25 16:36:29.002157,False
CHE,31099.855145511552,1212150026.8354597,71.71217375582633,98.24636914808097,196.9832055937983,2.5852196086653763,32.837824771443216,18616.84567313618,2025-08-25 16:36:29.002207,False
CHL,33465.68743541267,734858119.9444356,74.54972219771643,83.97269838901228,83.47507634346836,1.7526808009377208,61.63757263962938,38934.98318617326,2025-08-25 16:36:29.002255,False
CHN,10280.5570972907,1190334329.8214955,59.508169999582734,71.26691310358214,130.0995920565102,3.4261389742030364,44.02084416937295,14272.673853737337,2025-08-25 16:36:29.002400,False
CIV,10949.572612876244,517895377.70276886,55.82761217941787,55.67891371392239,97.50627355996004,4.309430308819503,43.94470565305261,3933.591382772351,2025-08-25 16:36:29.002461,False
CMR,10949.572612876244,517895377.70276886,55.82761217941787,55.67891371392239,97.50627355996004,4.309430308819503,43.94470565305261,3933.591382772351,2025-08-25 16:36:29.002515,False
COD,620.6100705940902,534231356.6518076,46.840928004996584,19.17933083168485,89.11504253838152,1.8108540878432013,41.25503254990305,283.1093764377801,2025-08-25 16:36:29.002566,False
COG,3036.6168624048646,1190334329.8214955,37.22478999946352,50.38130443368878,130.0995920565102,3.4261389742030364,44.02084416937295,5471.634501038606,2025-08-25 16:36:29.002617,False
COL,19572.62537385125,1028290460.4404289,79.2485965890895,72.88178407256702,55.553293242217464,2.0404669896847487,55.422776747133696,7813.1784918579215,2025-08-25 16:36:29.002666,False
COM,10153.854513004539,1182762066.7871437,64.71025658676966,55.48022677637188,55.667838715359835,4.106052551753464,54.31322580948208,7780.373458057107,2025-08-25 16:36:29.002718,False
CPV,11288.320934386922,1338431182.1722357,70.4107974818043,81.49090614121971,102.33582362409165,1.9452713269975905,29.73495415957087,11250.617132636957,2025-08-25 16:36:29.002767,False
CRI,53931.56343462812,1028290460.4404289,90.8918547064925,92.42153992510781,55.553293242217464,2.0404669896847487,55.422776747133696,22257.250846812916,2025-08-25 16:36:29.002815,False
CUB,15353.581193918393,224175914.23489228,72.91604862962976,77.91836858112148,183.7935604380086,2.388875243669784,48.57382464107506,10737.74594139196,2025-08-25 16:36:29.002864,False
CUW,42040.71838293194,195576174.1636539,78.67319051353557,94.63621306581295,138.2442399130174,3.0726084370273954,46.31211579708674,33866.569227902204,2025-08-25 16:36:29.002912,False
CYM,33220.8023359673,1338431182.1722357,84.57914105843165,97.09506333380499,102.33582362409165,1.9452713269975905,29.73495415957087,31053.049721747506,2025-08-25 16:36:29.002960,False
CYP,29282.619827764753,1216268308.5353005,72.88431508269754,95.74656832505546,102.66916787968924,4.059305123367355,63.82538292550758,43545.16544342724,2025-08-25 16:36:29.003008,False
CZE,74222.64937081934,517895377.70276886,87.1264512107877,93.55798721129051,97.50627355996004,4.309430308819503,43.94470565305261,29744.760155486118,2025-08-25 16:36:29.003056,False
DEU,53931.56343462812,1028290460.4404289,90.8918547064925,92.42153992510781,55.553293242217464,2.0404669896847487,55.422776747133696,22257.250846812916,2025-08-25 16:36:29.003105,False
DJI,3539.215897347759,734858119.9444356,33.189499955889595,30.454469444769153,83.47507634346836,1.7526808009377208,61.63757263962938,5496.985645463958,2025-08-25 16:36:29.003155,False
DMA,10198.332624834986,454969301.757639,77.4070933163297,67.6533324410897,66.90358796732379,1.8073417156250657,59.59482306916228,18655.519791749874,2025-08-25 16:36:29.003205,False
DNK,55061.39038090908,1446496715.6103134,71.59733233226714,87.28793559927723,195.203722667122,1.8612987693954222,51.17958865072636,44585.12402250954,2025-08-25 16:36:29.003254,False
DOM,18591.570749968116,656135408.1061455,50.84279702108309,62.397408316070674,154.0239225857262,2.367155774162138,53.493557341573116,9138.346530708688,2025-08-25 16:36:29.003304,False
DZA,25938.479928609988,1182762066.7871437,80.88575512304307,74.83615874346032,55.667838715359835,4.106052551753464,54.31322580948208,19576.533619860922,2025-08-25 16:36:29.003353,False
ECU,20024.55615236363,1446496715.6103134,52.236265265174005,63.42514452498439,195.203722667122,1.8612987693954222,51.17958865072636,16539.013985808324,2025-08-25 16:36:29.003402,False
EGY,2970.2499949967482,1108097253.3396316,55.54527161592131,32.37711694576395,166.91926103065634,2.911390324172758,39.87463084033665,5954.96864389394,2025-08-25 16:36:29.003452,False
ERI,1703.5875852236493,656135408.1061455,15.842797021083094,17.397408316070678,154.0239225857262,2.367155774162138,53.493557341573116,809.173004812416,2025-08-25 16:36:29.003505,False
ESP,42990.29795774574,519861941.98310435,73.62014366995645,92.39446365076844,96.58820765655186,2.352288890529803,58.91451836385968,36981.46672649571,2025-08-25 16:36:29.003552,False
EST,29282.619827764753,1216268308.5353005,72.88431508269754,95.74656832505546,102.66916787968924,4.059305123367355,63.82538292550758,43545.16544342724,2025-08-25 16:36:29.003602,False
FIN,55061.39038090908,1446496715.6103134,71.59733233226714,87.28793559927723,195.203722667122,1.8612987693954222,51.17958865072636,44585.12402250954,2025-08-25 16:36:29.003651,False
FJI,10280.5570972907,1190334329.8214955,59.508169999582734,71.26691310358214,130.0995920565102,3.4261389742030364,44.02084416937295,14272.673853737337,2025-08-25 16:36:29.003699,False
FRA,30701.392743226756,1190334329.8214955,76.79154999970196,91.54489568480173,130.0995920565102,3.4261389742030364,44.02084416937295,38785.95956691613,2025-08-25 16:36:29.003746,False
FRO,67982.1722455851,876729465.0122293,80.66775175472813,85.9915492033929,174.03324365018892,4.210288429811755,26.55752421659228,52312.182958548714,2025-08-25 16:36:29.003802,False
FSM,8309.999826057661,1323574175.3592982,36.634824728807246,35.70611900601097,190.38264296768878,3.7350498987368748,25.262129001711166,1146.2695179519012,2025-08-25 16:36:29.003853,False
GAB,12932.535959771787,396817412.18208164,84.20764034845088,84.75280783215996,199.24881529007666,3.2144266139128095,48.984279967419916,5943.526347186911,2025-08-25 16:36:29.003902,False
GBR,25742.137259094674,414974825.9415728,74.51139826695639,85.16148631168055,186.7594525659168,3.603449414412234,41.749771215534125,49866.66147780952,2025-08-25 16:36:29.003953,False
GEO,8296.85490363787,414974825.9415728,56.31595757373894,59.50800110046416,186.7594525659168,3.603449414412234,41.749771215534125,18603.063106270387,2025-08-25 16:36:29.004002,False
